b0464,b0463,1
b0464,b0462,0.993382564
b0464,b0464,0
b2213,b2213,0
b2213,b4187,0.967115287
b2213,b2068,0.201514196
b2213,b2212,0.92168293
b4116,b4117,0.164943032
b4116,b3517,0.324250441
b4116,b1493,0.370089052
b4116,b1492,0.387789068
b4116,b3516,0.514499695
b4116,b3212,0.979889997
b4116,b3213,0.967870788
b4116,b3214,0.208268059
b3131,b3138,0.793963255
b3131,b3140,0.462728551
b3131,b3141,0.751846381
b3131,b3131,0
b3131,b3133,0.093659942
b3131,b3137,0.94165536
b3131,b3132,0.24963925
b4187,b4187,0
b2697,b2697,0
b0504,b0516,0.608556057
b0504,b0517,0.01610808
b0504,b0515,0.344395797
b0564,b0980,0.357415544
b0564,b0979,0.373067624
b0564,b0978,0.851145871
b0564,b0972,0.691658857
b0564,b0973,0.802659771
b0564,b0974,0.323537969
b0564,b0975,0.627527723
b0564,b0976,0.295446213
b0564,b0977,0.139885066
b0064,b0062,0.496869183
b0064,b0063,0.576002696
b0064,b0064,0
b0064,b0061,0.666946732
b0064,b2841,0.463598901
b0064,b1901,0.647324531
b0064,b1900,0.292887746
b0064,b0396,0.827738967
b0064,b3565,0.781759511
b0064,b3564,0.453262179
b4401,b4014,0.440789474
b4401,b0114,0.994186047
b4401,b0115,0.65
b4401,b1276,0.993589744
b4401,b0118,0.039325843
b4401,b0311,0.739361702
b4401,b0313,0.098901099
b4401,b4131,0.506756757
b4401,b4132,0.396648045
b4401,b0038,0.344827586
b4401,b0037,0.382653061
b4401,b0036,0.774193548
b4401,b0035,0.886363636
b4401,b0040,0.445
b4401,b0618,0.907608696
b4401,b0617,0.315789474
b4401,b0616,0.912280702
b4401,b0613,0.917808219
b4401,b0614,0.391061453
b4401,b0734,0.993333333
b4401,b0886,0.37654321
b4401,b0432,1
b4401,b0430,0.962264151
b4401,b0429,0.625730994
b4401,b0620,0.944055944
b4401,b3845,0.718954248
b4401,b3846,0.864516129
b4401,b1334,0.969325153
b4401,b1612,0.993975904
b4401,b2975,0.532967033
b4401,b4467,0.863354037
b4401,b2243,0.81920904
b4401,b0720,0.153409091
b4401,b2579,0.668711656
b4401,b1210,0.823529412
b4401,b0972,0.698324022
b4401,b0974,0.5
b4401,b0975,0.544378698
b4401,b0976,0.264248705
b4401,b0977,0.1
